cell_id,avg_charge_time_2_6,c1,c2,charge_time_min,dq_kurt,dq_mean,dq_min,dq_skew,dq_var,fade_intercept_2_h,fade_intercept_last10,fade_slope_2_h,fade_slope_last10,ir_cycle2,ir_diff_h_2,ir_min_2_h,q1_pct,qd_cycle2,qd_max_minus_2,rate_w1,rate_w2,rate_w3,rate_w4,temp_integral_2_h
MATR_b1c0,0.022171833379039545,-0.0013534425933962478,0.0,0.01869868867885752,0.009012149368937704,0.03322446148106758,0.06315600498197195,-0.0038319043000048358,0.05023774380152574,0.006502489970471073,-0.00010577303454013522,-0.002287545266172214,0.0009725952310841626,0.03991278802327875,0.011064470692771033,-0.003495246281066224,0.013960297997898894,-0.0033860162647518523,-0.0007672624817562371,0.00682894269511851,0.0021157896485374896,0.007362656265710451,0.0038994409339436053,-0.008476497951923866
MATR_b1c2,0.02304994054299717,-0.0013534425933962478,0.0,0.016721119826189387,-0.00594313639922983,0.03322446148106758,0.06315600498197195,-0.0035054235214650132,0.04506837738805296,0.006502489970471073,-6.03287443726491e-05,-0.0008037901915698579,-3.486115804675733e-05,0.02854042766803317,0.008043420244303306,0.014627738086213173,0.014594402577343823,0.004504277350982359,-0.0007672624817562371,0.009193311494508402,0.0021157896485374896,0.008498146456130453,0.0038994409339436053,-0.008670763029943034
MATR_b1c4,0.019976026331513227,-0.0013534425933962478,0.0,0.016107198344832888,0.0008617995098893122,0.03322446148106758,0.06315600498197195,-0.0035054235214650132,0.04506837738805296,0.006502489970471073,-6.03287443726491e-05,0.0008827433833797991,0.0009725952310841626,0.02854042766803317,0.0061791036307701445,0.016049829341880786,0.014594402577343823,0.004136287396234339,-0.0007672624817562371,0.008963966188390073,0.0019405213571900468,0.0072800776672250385,0.0038994409339436053,-0.007674435051283437
MATR_b1c6,-0.013881895761558637,0.0007848867145575331,0.0,-0.00901437150378304,-0.004004228165578982,0.004478655580691651,0.016301616087475143,-0.004086960910887812,0.005538052635645194,0.004248809303579384,0.0014660475613668597,-0.002132288360029396,-0.0037448364777314595,-0.0020280504059270264,-0.010324597012491171,0.013663842423232942,0.01765375106799808,0.007662526287536008,-0.0007672624817562371,-0.002966688723168223,0.0032532549885323963,6.212977679968404e-05,-0.005219840839834943,-0.006237959313215629
MATR_b1c9,0.021353890083778537,0.0018485809425821786,0.0,0.0213864389174156,-0.0031362677326524325,0.031159810935997477,0.04499664937396161,-0.001168098198281341,0.05244016781423116,0.00545388246879429,-0.00011812471221934655,0.0007827871911913427,0.0009725952310841626,0.004640829285908076,0.006265463969063416,-0.00565045483654831,-0.003648600644335956,0.00389035586962586,-0.0004322605531021053,-0.0022155746612725295,-0.0018580488179509092,0.0072500439330896145,0.0038994409339436053,0.017701461574090548
MATR_b1c14,-0.004758226250880814,0.0006248476133805728,0.0,0.002585553169782972,0.000451872922942959,0.020714939122799824,0.06572444595097933,0.0026089567946625553,0.053841539991473654,-0.003987529150781543,-0.00022656580984332147,0.004323664220047392,0.0018536218164407474,-0.03816551316113166,0.006265463969063416,-0.004854854772509288,-0.0034900744994747234,-0.004961063788082677,-0.001948774660235325,-0.0018367487970124068,-0.0038712250222732066,-0.00022702168836355387,0.0038994409339436053,-0.008885395242243252
MATR_b1c16,-0.004070468030878172,0.0006248476133805728,0.0,-0.00832174453338673,-0.0059898908308805765,0.0021313416668214125,0.0659485931596446,-0.00011942224183874087,0.044777272166101584,0.00565887151300532,-0.0026632746251818826,0.001904295067578938,-0.0007690499791772449,0.026006719410608482,0.006265463969063416,0.015277164044956798,-0.00441343776699952,0.005069215510497755,-0.001948774660235325,-0.0018367487970124068,-0.00296179917447331,0.0005233363590051825,0.0038994409339436053,-0.004290295992365917
MATR_b1c18,0.024763649298705333,0.0013057204157382956,0.0,-0.011531428925610899,0.0026805781253274735,-0.002790186875252607,-0.014509439489781183,0.0009048567753407715,-0.025905988794332153,-0.0007110247921654476,-0.001304873916116665,0.0004836833357195367,-0.00020306292622293277,-0.03661639143114873,-0.004696452314255548,0.0037471283529129777,0.014967202105604737,-0.007525427785070966,-0.001948774660235325,-0.004053707115102135,-0.004251030667597972,-0.0006827986745932429,0.008482241364731784,-0.009757142895549402
MATR_b1c20,-0.012843727722282873,0.0023694146437629408,0.0,-0.00795638327267964,0.00684586552725274,-0.01406242016509344,-0.026997430059062348,0.0029508885265744074,-0.02354365330808407,-0.0004101196609435997,-0.00019682573104261146,-2.9119873903159927e-05,-0.0027858205015209607,0.038520115936389814,-0.011085009241487481,0.015671607885171017,0.01765375106799808,-0.008536920105110849,0.0006303799732739037,-0.005434196776956997,-0.002035623271026608,0.00023919647159152904,-0.007134358547755699,0.014663079694356379
MATR_b1c23,0.019938478073217088,0.0018485809425821786,0.0,0.022000360398772095,-0.0023753456305359378,0.0011245753380398963,0.0381415213974815,-0.0009447851627186523,0.052149062592279784,0.005559511342665788,-0.00011812471221934655,-0.0011852156230853547,0.001145316804844201,-0.002592627298021649,0.005411812143173725,-0.0035708316520173754,-0.003648600644335956,0.004459103655639459,0.0006303799732739037,0.0011372562151325965,0.0011198964146481724,0.005202909620523626,0.0038994409339436053,0.012977298866198254
